[5770000, 0.4527729636048527]
[5780000, 0.4528892733564014]
[5790000, 0.45278065630397235]
[5800000, 0.4528448275862069]
[5810000, 0.45266781411359724]
[5820000, 0.45268041237113404]
[5830000, 0.4525385934819897]
[5840000, 0.4525684931506849]
[5850000, 0.4524102564102564]
[5860000, 0.452320819112628]
[5870000, 0.45228279386712095]
[5880000, 0.4523639455782313]
[5890000, 0.45241086587436335]
[5900000, 0.45257627118644067]
[5910000, 0.4526057529610829]
[5920000, 0.4529391891891892]
[5930000, 0.45276559865092747]
[5940000, 0.45296296296296296]
[5950000, 0.4530252100840336]
[5960000, 0.45291946308724834]
[5970000, 0.45293132328308205]
[5980000, 0.45292642140468226]
[5990000, 0.45315525876460766]
[6000000, 0.45298333333333335]
[6010000, 0.45299500831946754]
[6020000, 0.4531063122923588]
[6030000, 0.4530514096185738]
[6040000, 0.4530794701986755]
[6050000, 0.4531404958677686]
[6060000, 0.453036303630363]
[6070000, 0.4528665568369028]
[6080000, 0.4528453947368421]
[6090000, 0.45282430213464697]
[6100000, 0.4528524590163934]
[6110000, 0.45292962356792144]
[6120000, 0.4530065359477124]
[6130000, 0.4531647634584013]
[6140000, 0.45315960912052117]
[6150000, 0.4533008130081301]
[6160000, 0.45340909090909093]
[6170000, 0.4535332252836305]
[6180000, 0.4533818770226537]
[6190000, 0.4532310177705977]
[6200000, 0.4532258064516129]
[6210000, 0.45334943639291464]
[6220000, 0.4534565916398714]
[6230000, 0.4534510433386838]
[6240000, 0.4535897435897436]
[6250000, 0.45352]
[6260000, 0.453370607028754]
[6270000, 0.4533811802232855]
[6280000, 0.45329617834394903]
[6290000, 0.45319554848966614]
[6300000, 0.45325396825396824]
[6310000, 0.45329635499207604]
[6320000, 0.4533544303797468]
[6330000, 0.45327014218009476]
[6340000, 0.4532807570977918]
[6350000, 0.4533700787401575]
[6360000, 0.45322327044025157]
[6370000, 0.4530769230769231]
[6380000, 0.45327586206896553]
[6390000, 0.4532550860719875]
[6400000, 0.453296875]
[6410000, 0.45330733229329173]
[6420000, 0.4532866043613707]
[6430000, 0.45309486780715397]
[6440000, 0.4531211180124224]
[6450000, 0.45322480620155037]
[6460000, 0.4530495356037152]
[6470000, 0.45310664605873263]
[6480000, 0.45305555555555554]
[6490000, 0.4530816640986132]
[6500000, 0.45321538461538463]
[6510000, 0.4533794162826421]
[6520000, 0.4534049079754601]
[6530000, 0.4531087289433384]
[6540000, 0.45299694189602446]
[6550000, 0.45308396946564883]
[6560000, 0.4530792682926829]
[6570000, 0.4532420091324201]
[6580000, 0.4532826747720365]
[6590000, 0.45332321699544764]
[6600000, 0.45336363636363636]
[6610000, 0.4532375189107413]
[6620000, 0.4532779456193353]
[6630000, 0.4531975867269985]
[6640000, 0.45319277108433736]
[6650000, 0.45323308270676693]
[6660000, 0.4531981981981982]
[6670000, 0.4531334332833583]
[6680000, 0.4531736526946108]
[6690000, 0.453288490284006]
[6700000, 0.45311940298507464]
[6710000, 0.45301043219076004]
[6720000, 0.453125]
[6730000, 0.4530609212481426]
[6740000, 0.453160237388724]
[6750000, 0.45324444444444445]
[6760000, 0.4530769230769231]
[6770000, 0.4530871491875923]
[6780000, 0.45300884955752213]
[6790000, 0.4530044182621502]
[6800000, 0.4529705882352941]
[6810000, 0.4529955947136564]
[6820000, 0.45296187683284456]
[6830000, 0.45284040995607616]
[6840000, 0.45282163742690057]
[6850000, 0.4528321167883212]
