['win', [[14, 'C'], [10, 'C']], 'Pair']
['win', [[7, 'D'], [9, 'C']], 'Full House']
['win', [[8, 'D'], [5, 'D']], '3 of a Kind']
['win', [[7, 'S'], [9, 'D']], 'Pair']
['win', [[7, 'D'], [14, 'H']], 'Straight']
['win', [[4, 'S'], [4, 'C']], 'Full House']
['win', [[11, 'S'], [7, 'C']], '3 of a Kind']
['win', [[8, 'D'], [14, 'C']], '2 Pairs']
['win', [[4, 'S'], [5, 'S']], 'Pair']
['win', [[8, 'S'], [9, 'S']], 'Full House']
['win', [[9, 'C'], [10, 'C']], 'Full House']
['win', [[8, 'D'], [12, 'C']], '2 Pairs']
['win', [[4, 'C'], [7, 'S']], 'Straight']
['win', [[7, 'D'], [9, 'D']], 'Flush']
['win', [[11, 'S'], [14, 'D']], 'Straight']
['win', [[11, 'C'], [14, 'C']], '2 Pairs']
['win', [[13, 'H'], [7, 'H']], 'Full House']
['win', [[4, 'D'], [11, 'H']], '3 of a Kind']
['win', [[11, 'H'], [12, 'C']], 'Full House']
['win', [[2, 'C'], [2, 'S']], 'Full House']
['win', [[7, 'S'], [4, 'H']], 'Straight']
['win', [[2, 'H'], [4, 'S']], '3 of a Kind']
['win', [[12, 'S'], [3, 'D']], 'Pair']
['win', [[9, 'D'], [13, 'H']], '2 Pairs']
['win', [[7, 'D'], [10, 'S']], '3 of a Kind']
['draw', [[[13, 'H'], [11, 'C']], [[13, 'C'], [3, 'C']]], 'Pair']
['win', [[2, 'S'], [10, 'D']], '2 Pairs']
['win', [[8, 'H'], [14, 'H']], '3 of a Kind']
['win', [[9, 'S'], [11, 'D']], 'Pair']
['win', [[13, 'C'], [4, 'D']], '2 Pairs']
['win', [[6, 'C'], [14, 'C']], 'Flush']
['win', [[7, 'S'], [4, 'C']], 'Full House']
['win', [[14, 'C'], [3, 'S']], 'Full House']
['win', [[14, 'D'], [3, 'S']], '2 Pairs']
['win', [[11, 'S'], [9, 'S']], 'Straight']
['win', [[4, 'H'], [2, 'H']], '3 of a Kind']
['win', [[5, 'H'], [12, 'C']], '2 Pairs']
['win', [[13, 'D'], [14, 'D']], '2 Pairs']
['win', [[12, 'H'], [12, 'S']], '2 Pairs']
['win', [[12, 'H'], [14, 'C']], 'Pair']
['win', [[6, 'S'], [6, 'C']], 'Pair']
['win', [[14, 'D'], [3, 'C']], '2 Pairs']
['win', [[9, 'S'], [3, 'S']], 'Pair']
['win', [[8, 'C'], [14, 'C']], 'Flush']
['win', [[2, 'S'], [9, 'H']], '3 of a Kind']
['win', [[6, 'D'], [4, 'D']], 'Flush']
['win', [[9, 'C'], [3, 'C']], 'Flush']
['win', [[13, 'H'], [12, 'D']], 'Pair']
['win', [[5, 'C'], [11, 'D']], '3 of a Kind']
['win', [[7, 'H'], [10, 'C']], 'Full House']
['win', [[5, 'H'], [3, 'D']], 'Straight']
['win', [[11, 'D'], [3, 'D']], 'Flush']
['win', [[13, 'D'], [11, 'H']], '3 of a Kind']
['win', [[13, 'C'], [12, 'D']], 'Pair']
['win', [[9, 'S'], [12, 'D']], '2 Pairs']
['win', [[5, 'S'], [11, 'H']], 'Straight']
['win', [[8, 'H'], [7, 'S']], '3 of a Kind']
['win', [[13, 'C'], [10, 'S']], 'Straight']
['win', [[14, 'C'], [9, 'D']], 'Pair']
['win', [[3, 'C'], [9, 'H']], 'Pair']
['win', [[2, 'C'], [11, 'C']], 'Flush']
['win', [[13, 'H'], [7, 'S']], '2 Pairs']
['win', [[14, 'H'], [13, 'S']], 'Pair']
['win', [[7, 'D'], [4, 'C']], '2 Pairs']
['win', [[3, 'H'], [8, 'C']], '3 of a Kind']
['win', [[13, 'H'], [8, 'S']], 'Full House']
['win', [[11, 'S'], [14, 'C']], 'Pair']
['win', [[8, 'C'], [8, 'D']], 'Full House']
['win', [[14, 'S'], [12, 'D']], '2 Pairs']
['win', [[5, 'S'], [12, 'S']], 'Flush']
['win', [[3, 'D'], [2, 'H']], '3 of a Kind']
['win', [[11, 'C'], [10, 'C']], '4 of a Kind']
['draw', [[[13, 'H'], [10, 'C']], [[9, 'C'], [3, 'H']]], 'Flush']
['win', [[10, 'H'], [7, 'D']], '3 of a Kind']
['win', [[10, 'S'], [8, 'S']], 'Straight']
['win', [[12, 'S'], [12, 'D']], '2 Pairs']
['win', [[7, 'D'], [2, 'H']], 'Straight']
['win', [[8, 'S'], [7, 'H']], 'Full House']
['win', [[14, 'H'], [14, 'D']], '2 Pairs']
['win', [[12, 'C'], [12, 'D']], 'Full House']
['win', [[8, 'C'], [11, 'C']], '2 Pairs']
['win', [[7, 'H'], [3, 'C']], '3 of a Kind']
['win', [[11, 'D'], [6, 'D']], 'Flush']
['win', [[3, 'D'], [14, 'C']], 'Flush']
['win', [[13, 'H'], [2, 'D']], '2 Pairs']
['win', [[9, 'S'], [4, 'H']], 'Full House']
['win', [[8, 'C'], [4, 'S']], 'Full House']
['win', [[3, 'C'], [13, 'S']], '2 Pairs']
['win', [[10, 'H'], [5, 'H']], 'Flush']
['win', [[8, 'S'], [8, 'D']], 'Full House']
['win', [[11, 'H'], [12, 'H']], '2 Pairs']
['win', [[13, 'D'], [5, 'S']], '2 Pairs']
['win', [[5, 'C'], [11, 'D']], '3 of a Kind']
['win', [[11, 'C'], [14, 'H']], '3 of a Kind']
['win', [[13, 'C'], [10, 'S']], '3 of a Kind']
['win', [[10, 'D'], [10, 'H']], '3 of a Kind']
['win', [[12, 'S'], [3, 'C']], 'Full House']
['win', [[3, 'C'], [7, 'D']], '4 of a Kind']
['win', [[13, 'H'], [11, 'C']], 'Straight']
['win', [[10, 'H'], [9, 'H']], 'Straight']
['win', [[10, 'H'], [6, 'H']], 'Full House']
['win', [[2, 'S'], [14, 'C']], 'Flush']
['win', [[9, 'C'], [6, 'C']], '3 of a Kind']
['win', [[2, 'C'], [12, 'H']], 'Straight']
['win', [[14, 'C'], [4, 'C']], 'Full House']
['win', [[9, 'C'], [4, 'D']], '2 Pairs']
['win', [[4, 'C'], [10, 'D']], 'Full House']
['win', [[9, 'S'], [10, 'D']], 'Straight']
['win', [[11, 'H'], [6, 'C']], '2 Pairs']
['win', [[9, 'H'], [4, 'S']], '3 of a Kind']
['draw', [[[14, 'H'], [13, 'D']], [[9, 'D'], [8, 'H']]], 'Pair']
['win', [[12, 'S'], [4, 'H']], 'Flush']
['win', [[5, 'H'], [7, 'H']], '3 of a Kind']
['win', [[7, 'C'], [6, 'C']], 'Flush']
['win', [[6, 'H'], [2, 'H']], 'Full House']
['win', [[10, 'H'], [10, 'D']], '2 Pairs']
['win', [[10, 'S'], [4, 'S']], 'Pair']
['win', [[13, 'H'], [10, 'C']], 'Straight']
['win', [[12, 'D'], [13, 'S']], 'Full House']
['win', [[8, 'C'], [6, 'H']], 'Straight']
['win', [[4, 'D'], [8, 'C']], 'Full House']
['win', [[7, 'D'], [6, 'H']], 'Straight']
['win', [[4, 'H'], [12, 'D']], 'Pair']
['win', [[8, 'D'], [7, 'C']], 'Full House']
['win', [[6, 'C'], [10, 'S']], '2 Pairs']
['win', [[11, 'D'], [9, 'D']], '2 Pairs']
['win', [[5, 'C'], [3, 'S']], 'Straight']
['win', [[3, 'H'], [2, 'H']], 'Full House']
['win', [[6, 'D'], [9, 'H']], 'Straight']
['win', [[14, 'S'], [13, 'S']], '3 of a Kind']
['win', [[2, 'D'], [8, 'D']], 'Flush']
['win', [[7, 'H'], [13, 'H']], 'Full House']
['win', [[7, 'C'], [5, 'C']], 'Flush']
['win', [[13, 'D'], [14, 'S']], '3 of a Kind']
['win', [[6, 'H'], [14, 'H']], 'Flush']
['win', [[7, 'H'], [7, 'D']], '3 of a Kind']
['win', [[9, 'D'], [7, 'S']], '3 of a Kind']
['win', [[7, 'S'], [6, 'S']], 'Straight']
['win', [[6, 'H'], [4, 'H']], 'Straight']
['win', [[10, 'C'], [9, 'C']], '2 Pairs']
['win', [[14, 'C'], [11, 'C']], '3 of a Kind']
['win', [[6, 'S'], [9, 'C']], '2 Pairs']
