['win', [[8, 'H'], [8, 'S']], '2 Pairs']
['win', [[14, 'C'], [10, 'C']], 'Flush']
['win', [[14, 'D'], [10, 'S']], 'Pair']
['win', [[5, 'C'], [14, 'C']], 'Pair']
['win', [[11, 'H'], [5, 'H']], '2 Pairs']
['win', [[13, 'H'], [4, 'D']], '3 of a Kind']
['win', [[3, 'S'], [6, 'H']], 'Pair']
['win', [[9, 'D'], [5, 'D']], 'Flush']
['win', [[9, 'D'], [3, 'S']], 'Pair']
['win', [[10, 'H'], [9, 'H']], '2 Pairs']
['win', [[13, 'D'], [7, 'H']], 'Pair']
['win', [[2, 'D'], [6, 'C']], '2 Pairs']
['win', [[4, 'H'], [10, 'C']], 'Pair']
['win', [[14, 'D'], [7, 'H']], '2 Pairs']
['win', [[11, 'H'], [12, 'C']], 'Pair']
['win', [[11, 'S'], [12, 'S']], '2 Pairs']
['win', [[4, 'D'], [13, 'S']], '2 Pairs']
['win', [[9, 'C'], [5, 'S']], 'Full House']
['win', [[10, 'S'], [12, 'C']], 'Straight']
['win', [[14, 'C'], [12, 'D']], 'Pair']
['win', [[8, 'S'], [13, 'D']], '2 Pairs']
['win', [[10, 'S'], [3, 'H']], 'Pair']
['win', [[9, 'S'], [12, 'S']], 'Straight']
['win', [[11, 'H'], [13, 'H']], 'Flush']
['win', [[11, 'S'], [10, 'S']], 'High Card']
['win', [[11, 'C'], [4, 'H']], 'Full House']
['win', [[11, 'D'], [2, 'S']], 'Pair']
['win', [[8, 'H'], [11, 'S']], 'Pair']
['win', [[7, 'H'], [9, 'C']], 'Pair']
['win', [[8, 'S'], [3, 'C']], '2 Pairs']
['win', [[13, 'D'], [11, 'C']], 'Pair']
['win', [[8, 'D'], [8, 'S']], '2 Pairs']
['win', [[14, 'D'], [6, 'S']], 'High Card']
['win', [[9, 'D'], [11, 'H']], '2 Pairs']
['win', [[5, 'H'], [11, 'D']], 'Flush']
['win', [[9, 'D'], [12, 'C']], 'Straight']
['win', [[8, 'C'], [12, 'D']], '2 Pairs']
['win', [[3, 'D'], [6, 'D']], 'Flush']
['win', [[14, 'S'], [14, 'C']], '2 Pairs']
['win', [[10, 'C'], [3, 'S']], 'Pair']
['win', [[4, 'S'], [9, 'C']], '3 of a Kind']
['win', [[13, 'S'], [12, 'C']], 'Pair']
['win', [[8, 'C'], [11, 'S']], 'High Card']
['win', [[14, 'H'], [11, 'C']], 'Pair']
['win', [[11, 'H'], [11, 'C']], '2 Pairs']
['win', [[4, 'C'], [13, 'C']], 'Pair']
['win', [[13, 'S'], [6, 'S']], '3 of a Kind']
['win', [[6, 'D'], [10, 'C']], None]
['win', [[11, 'S'], [7, 'C']], 'Straight']
['win', [[6, 'D'], [3, 'D']], '2 Pairs']
['win', [[4, 'H'], [6, 'S']], 'Flush']
['win', [[11, 'C'], [10, 'D']], '2 Pairs']
['win', [[7, 'D'], [13, 'S']], 'Pair']
['win', [[14, 'H'], [9, 'C']], 'Pair']
['win', [[4, 'H'], [13, 'D']], '2 Pairs']
['win', [[10, 'D'], [10, 'H']], 'Pair']
['win', [[10, 'D'], [5, 'D']], None]
['win', [[2, 'D'], [2, 'S']], '2 Pairs']
['draw', [[[13, 'D'], [14, 'S']], [[7, 'D'], [13, 'C']]], '2 Pairs']
['win', [[9, 'S'], [9, 'C']], '2 Pairs']
['win', [[4, 'C'], [11, 'H']], '2 Pairs']
['win', [[9, 'S'], [13, 'S']], '2 Pairs']
['win', [[14, 'H'], [11, 'S']], 'Flush']
['win', [[7, 'C'], [7, 'S']], 'Pair']
['win', [[6, 'D'], [3, 'S']], 'Pair']
['win', [[14, 'H'], [11, 'S']], '2 Pairs']
['win', [[13, 'S'], [14, 'S']], 'Straight']
['win', [[13, 'S'], [7, 'S']], '2 Pairs']
['win', [[12, 'H'], [14, 'D']], 'High Card']
['win', [[7, 'C'], [7, 'S']], '3 of a Kind']
['win', [[11, 'S'], [5, 'H']], 'Full House']
['win', [[6, 'D'], [10, 'C']], 'High Card']
['win', [[10, 'C'], [5, 'C']], 'Pair']
['win', [[6, 'H'], [7, 'H']], 'Pair']
['win', [[5, 'H'], [9, 'H']], '2 Pairs']
['win', [[13, 'D'], [5, 'H']], '2 Pairs']
['win', [[12, 'S'], [11, 'H']], 'Flush']
['win', [[6, 'C'], [12, 'C']], 'Straight']
['win', [[13, 'D'], [13, 'H']], '3 of a Kind']
['win', [[4, 'H'], [3, 'H']], '2 Pairs']
['win', [[3, 'S'], [8, 'S']], '3 of a Kind']
['win', [[9, 'H'], [12, 'D']], 'Pair']
['draw', [[[13, 'C'], [8, 'D']], [[4, 'C'], [7, 'S']]], '2 Pairs']
['win', [[4, 'H'], [7, 'H']], 'Pair']
['win', [[7, 'D'], [2, 'C']], 'Straight']
['win', [[11, 'C'], [4, 'C']], '3 of a Kind']
['win', [[13, 'S'], [10, 'C']], 'Pair']
['win', [[10, 'S'], [13, 'S']], 'Pair']
['win', [[9, 'S'], [10, 'C']], 'Pair']
